iter	Passed	Remaining
0	59	59622
1	60	29964
2	60	20055
3	60	15096
4	61	12146
5	61	10158
6	61	8736
7	61	7669
8	62	6840
9	62	6176
10	62	5633
11	62	5184
12	63	4800
13	63	4472
14	63	4190
15	64	3942
16	64	3722
17	64	3529
18	65	3356
19	65	3199
20	65	3056
21	65	2927
22	66	2808
23	66	2699
24	66	2598
25	66	2507
26	67	2422
27	67	2342
28	67	2267
29	67	2197
30	68	2133
31	68	2073
32	68	2015
33	69	1962
34	69	1911
35	69	1863
36	69	1818
37	70	1775
38	70	1734
39	70	1695
40	70	1658
41	71	1622
42	71	1588
43	71	1556
44	71	1525
45	72	1496
46	72	1468
47	72	1440
48	72	1414
49	73	1389
50	73	1366
51	73	1343
52	73	1321
53	74	1299
54	74	1279
55	74	1260
56	75	1241
57	75	1222
58	75	1204
59	75	1187
60	76	1171
61	76	1155
62	76	1140
63	95	1390
64	95	1373
65	95	1355
66	96	1339
67	96	1319
68	96	1302
69	96	1287
70	97	1271
71	97	1256
72	97	1240
73	97	1226
74	98	1211
75	98	1197
76	99	1188
77	99	1175
78	100	1166
79	100	1156
80	100	1144
81	101	1132
82	101	1120
83	101	1108
84	101	1095
85	102	1084
86	102	1072
87	102	1061
88	102	1050
89	102	1040
90	103	1030
91	103	1020
92	103	1010
93	103	1000
94	104	991
95	104	982
96	104	973
97	104	964
98	104	955
99	105	946
100	105	938
101	105	929
102	105	921
103	106	913
104	106	905
105	106	898
106	106	890
107	106	883
108	107	876
109	107	869
110	107	862
111	107	855
112	108	849
113	108	843
114	108	836
115	108	829
116	109	823
117	109	817
118	109	811
119	109	805
120	110	799
121	110	793
122	110	787
123	110	781
124	110	775
125	111	770
126	111	765
127	111	759
128	111	753
129	111	749
130	112	744
131	112	739
132	112	734
133	113	730
134	113	725
135	113	721
136	113	716
137	113	711
138	114	707
139	114	703
140	114	698
141	114	694
142	115	690
143	115	686
144	115	682
145	115	678
146	116	674
147	116	670
148	116	666
149	116	662
150	117	658
151	117	654
152	117	650
153	117	647
154	118	643
155	118	639
156	118	636
157	118	632
158	119	629
159	119	625
160	119	622
161	119	619
162	119	615
163	120	612
164	120	609
165	120	606
166	120	603
167	121	600
168	121	597
169	121	594
170	121	591
171	122	588
172	122	585
173	122	582
174	122	579
175	123	576
176	123	573
177	123	570
178	123	568
179	124	565
180	124	562
181	124	559
182	124	556
183	124	554
184	125	551
185	125	548
186	125	546
187	125	543
188	126	541
189	126	538
190	126	535
191	126	533
192	126	530
193	127	528
194	127	526
195	127	523
196	127	521
197	128	518
198	128	516
199	128	514
200	128	511
201	129	509
202	129	507
203	129	505
204	129	503
205	130	501
206	130	498
207	130	496
208	130	494
209	130	492
210	131	490
211	131	488
212	131	486
213	131	484
214	132	482
215	132	480
216	132	478
217	132	476
218	133	474
219	133	472
220	133	470
221	133	468
222	134	467
223	134	465
224	134	463
225	134	461
226	134	459
227	135	457
228	135	456
229	135	454
230	135	452
231	136	450
232	136	448
233	136	447
234	136	445
235	137	443
236	137	442
237	137	440
238	137	438
239	138	437
240	138	435
241	138	433
242	138	432
243	138	430
244	139	428
245	139	427
246	139	425
247	139	424
248	140	422
249	140	420
250	140	419
251	140	417
252	140	416
253	141	414
254	141	413
255	141	411
256	141	410
257	142	408
258	142	407
259	142	405
260	142	404
261	143	402
262	143	401
263	143	400
264	143	398
265	143	397
266	144	395
267	144	394
268	144	392
269	144	391
270	145	390
271	145	389
272	145	387
273	145	386
274	146	384
275	146	383
276	146	382
277	146	381
278	146	379
279	147	378
280	147	377
281	147	375
282	147	374
283	148	373
284	148	372
285	148	371
286	148	369
287	149	368
288	149	367
289	149	366
290	149	365
291	150	363
292	150	362
293	150	361
294	150	360
295	151	359
296	151	358
297	151	356
298	151	355
299	151	354
300	152	353
301	152	352
302	152	351
303	152	349
304	153	348
305	153	347
306	153	346
307	153	345
308	154	344
309	154	343
310	154	342
311	154	341
312	154	340
313	155	339
314	155	338
315	155	337
316	155	336
317	156	335
318	156	334
319	156	332
320	156	331
321	157	330
322	157	329
323	157	328
324	157	327
325	158	326
326	158	325
327	158	324
328	158	323
329	159	322
330	159	322
331	159	320
332	159	320
333	160	319
334	160	318
335	160	317
336	160	316
337	161	315
338	161	314
339	161	313
340	161	312
341	162	311
342	162	310
343	162	310
344	162	309
345	163	308
346	163	307
347	163	306
348	163	305
349	164	304
350	164	303
351	164	302
352	164	302
353	164	301
354	165	300
355	165	299
356	165	298
357	165	297
358	166	296
359	166	295
360	166	294
361	166	294
362	167	293
363	167	292
364	167	291
365	167	290
366	168	290
367	168	289
368	168	288
369	168	287
370	169	286
371	169	285
372	169	285
373	169	284
374	170	283
375	170	282
376	170	281
377	170	281
378	170	280
379	171	279
380	171	278
381	171	277
382	171	276
383	172	276
384	172	275
385	172	274
386	172	273
387	173	272
388	173	272
389	173	271
390	173	270
391	173	269
392	174	269
393	174	268
394	174	267
395	174	266
396	175	266
397	175	265
398	175	264
399	175	263
400	176	263
401	176	262
402	176	261
403	176	260
404	177	260
405	177	259
406	177	258
407	177	257
408	177	257
409	178	256
410	178	255
411	178	254
412	178	254
413	179	253
414	179	252
415	179	252
416	179	251
417	180	250
418	180	249
419	180	249
420	180	248
421	180	247
422	181	247
423	181	246
424	181	245
425	181	244
426	181	244
427	182	243
428	182	242
429	182	242
430	182	241
431	183	240
432	183	240
433	183	239
434	183	238
435	183	237
436	184	237
437	184	236
438	184	235
439	184	235
440	185	234
441	185	233
442	185	233
443	185	232
444	186	232
445	186	231
446	186	230
447	186	230
448	187	229
449	187	228
450	187	228
451	187	227
452	188	227
453	188	226
454	188	225
455	188	225
456	188	224
457	189	223
458	189	223
459	189	222
460	189	222
461	190	221
462	190	220
463	190	220
464	190	219
465	191	218
466	191	218
467	191	217
468	191	217
469	192	216
470	192	216
471	192	215
472	192	214
473	193	214
474	193	213
475	193	213
476	193	212
477	194	211
478	194	211
479	194	210
480	194	210
481	194	209
482	195	208
483	195	208
484	195	207
485	195	207
486	196	206
487	196	205
488	196	205
489	196	204
490	197	204
491	197	203
492	197	203
493	197	202
494	198	202
495	198	201
496	198	200
497	198	200
498	199	199
499	199	199
500	199	198
501	199	198
502	199	197
503	200	196
504	200	196
505	200	195
506	200	195
507	201	194
508	201	194
509	201	193
510	201	193
511	202	192
512	202	192
513	202	191
514	202	190
515	202	190
516	203	189
517	203	189
518	203	188
519	203	188
520	204	187
521	204	187
522	204	186
523	204	186
524	205	185
525	205	185
526	205	184
527	205	184
528	206	183
529	206	182
530	206	182
531	206	181
532	207	181
533	207	180
534	207	180
535	207	179
536	207	179
537	208	178
538	208	178
539	208	177
540	208	177
541	209	176
542	209	176
543	209	175
544	209	175
545	209	174
546	210	174
547	210	173
548	210	173
549	210	172
550	211	171
551	211	171
552	211	170
553	211	170
554	211	169
555	212	169
556	212	168
557	212	168
558	212	167
559	213	167
560	213	166
561	213	166
562	213	165
563	213	165
564	214	164
565	214	164
566	214	163
567	214	163
568	214	162
569	215	162
570	215	161
571	215	161
572	215	160
573	216	160
574	216	159
575	216	159
576	216	158
577	216	158
578	217	157
579	217	157
580	217	156
581	217	156
582	218	155
583	218	155
584	218	154
585	218	154
586	218	154
587	219	153
588	219	153
589	219	152
590	220	152
591	220	151
592	220	151
593	220	150
594	221	150
595	221	149
596	221	149
597	221	149
598	221	148
599	222	148
600	222	147
601	222	147
602	222	146
603	223	146
604	223	145
605	223	145
606	223	144
607	224	144
608	224	143
609	224	143
610	224	143
611	224	142
612	225	142
613	225	141
614	225	141
615	225	140
616	226	140
617	226	139
618	226	139
619	226	138
620	226	138
621	227	138
622	227	137
623	227	137
624	227	136
625	228	136
626	228	135
627	228	135
628	228	134
629	229	134
630	230	134
631	230	134
632	230	133
633	230	133
634	230	132
635	231	132
636	231	131
637	231	131
638	231	130
639	232	130
640	232	130
641	232	129
642	232	129
643	232	128
644	233	128
645	233	127
646	233	127
647	233	126
648	234	126
649	234	126
650	234	125
651	234	125
652	234	124
653	235	124
654	235	124
655	235	123
656	235	123
657	236	122
658	236	122
659	236	121
660	236	121
661	237	121
662	237	120
663	237	120
664	238	119
665	238	119
666	238	119
667	238	118
668	239	118
669	239	117
670	239	117
671	239	117
672	240	116
673	240	116
674	240	115
675	240	115
676	241	114
677	241	114
678	241	114
679	241	113
680	242	113
681	242	113
682	242	112
683	242	112
684	243	111
685	243	111
686	243	110
687	243	110
688	244	110
689	244	109
690	244	109
691	244	108
692	245	108
693	245	108
694	245	107
695	245	107
696	245	106
697	246	106
698	246	106
699	246	105
700	246	105
701	247	104
702	247	104
703	247	104
704	247	103
705	247	103
706	248	102
707	248	102
708	248	102
709	249	101
710	249	101
711	249	100
712	249	100
713	250	100
714	250	99
715	250	99
716	251	99
717	251	98
718	251	98
719	251	97
720	252	97
721	252	97
722	252	96
723	252	96
724	253	96
725	253	95
726	253	95
727	253	94
728	254	94
729	254	94
730	254	93
731	254	93
732	255	92
733	255	92
734	255	92
735	255	91
736	256	91
737	256	90
738	256	90
739	256	90
740	257	89
741	257	89
742	257	89
743	257	88
744	257	88
745	258	87
746	258	87
747	258	87
748	259	86
749	259	86
750	259	86
751	260	85
752	260	85
753	260	85
754	260	84
755	261	84
756	261	83
757	261	83
758	261	83
759	262	82
760	262	82
761	262	81
762	262	81
763	262	81
764	263	80
765	263	80
766	263	80
767	264	79
768	264	79
769	264	79
770	264	78
771	265	78
772	265	77
773	265	77
774	265	77
775	266	76
776	266	76
777	266	76
778	266	75
779	267	75
780	267	74
