iter	Passed	Remaining
0	57	57320
1	57	28830
2	58	19297
3	58	14527
4	58	11666
5	58	9766
6	59	8403
7	59	7383
8	59	6590
9	60	5953
10	60	5431
11	60	4995
12	60	4627
13	61	4313
14	61	4039
15	61	3799
16	62	3587
17	62	3399
18	62	3233
19	63	3090
20	63	2958
21	63	2834
22	64	2720
23	64	2615
24	64	2521
25	65	2439
26	65	2356
27	65	2279
28	65	2208
29	66	2142
30	66	2081
31	66	2021
32	67	1965
33	67	1912
34	67	1863
35	67	1816
36	68	1772
37	68	1730
38	68	1689
39	68	1651
40	69	1615
41	69	1580
42	69	1548
43	69	1516
44	70	1486
45	70	1458
46	70	1430
47	70	1404
48	71	1379
49	71	1355
50	71	1332
51	71	1310
52	72	1289
53	72	1268
54	72	1250
55	73	1231
56	73	1213
57	73	1196
58	73	1179
59	74	1162
60	74	1146
61	74	1130
62	74	1114
63	75	1099
64	75	1085
65	75	1071
66	76	1059
67	76	1047
68	76	1034
69	76	1021
70	77	1011
71	77	1002
72	78	1002
73	79	992
74	79	981
75	79	971
76	80	961
77	80	950
78	80	940
79	80	930
80	81	921
81	81	911
82	81	900
83	81	891
84	82	883
85	82	874
86	82	866
87	82	857
88	82	849
89	83	841
90	83	834
91	83	826
92	83	818
93	84	812
94	84	806
95	85	800
96	85	794
97	85	789
98	86	783
99	86	777
100	86	770
101	86	764
102	87	758
103	87	752
104	87	746
105	87	741
106	88	735
107	88	730
108	88	724
109	88	719
110	89	714
111	89	709
112	89	704
113	89	699
114	90	694
115	90	689
116	90	684
117	90	679
118	91	674
119	91	670
120	91	666
121	91	661
122	92	657
123	92	653
124	92	650
125	93	646
126	93	642
127	93	638
128	94	635
129	94	631
130	94	627
131	94	624
132	95	620
133	95	617
134	95	613
135	96	610
136	96	606
137	96	602
138	96	599
139	96	595
140	97	592
141	97	588
142	97	584
143	97	581
144	98	578
145	98	574
146	98	571
147	98	568
148	99	565
149	99	562
150	99	559
151	99	556
152	99	553
153	100	550
154	100	547
155	100	544
156	100	541
157	101	539
158	101	536
159	101	533
160	101	530
161	101	527
162	102	524
163	102	522
164	102	519
165	102	516
166	103	514
167	103	512
168	103	510
169	104	508
170	104	505
171	104	503
172	104	501
173	105	499
174	105	497
175	105	495
176	106	493
177	106	491
178	106	489
179	106	487
180	107	485
181	107	483
182	107	481
183	108	479
184	108	477
185	108	474
186	108	473
187	109	471
188	109	469
189	109	468
190	110	467
191	110	466
192	111	464
193	111	463
194	111	461
195	111	459
196	112	457
197	112	455
198	112	453
199	112	451
200	113	449
201	113	447
202	113	446
203	113	444
204	114	442
205	114	440
206	114	439
207	114	437
208	115	435
209	115	433
210	115	432
211	115	430
212	116	428
213	116	427
214	116	425
215	116	423
216	116	422
217	117	420
218	117	418
219	117	417
220	117	415
221	118	414
222	118	412
223	118	411
224	118	409
225	119	408
226	119	407
227	119	406
228	120	405
229	120	403
230	120	402
231	121	401
232	121	399
233	121	398
234	121	397
235	122	395
236	122	394
237	122	392
238	123	391
239	123	390
240	123	389
241	123	388
242	124	387
243	124	385
244	124	384
245	125	383
246	125	382
247	125	380
248	125	379
249	126	378
250	126	377
251	126	375
252	126	374
253	127	373
254	127	372
255	127	370
256	127	369
257	128	368
258	128	367
259	128	365
260	128	364
261	129	363
262	129	362
263	129	361
264	129	360
265	130	358
266	130	357
267	130	356
268	130	355
269	131	354
270	131	353
271	131	352
272	131	351
273	132	349
274	132	348
275	132	347
276	132	346
277	133	345
278	133	344
279	133	343
280	133	342
281	134	341
282	134	340
283	134	339
284	135	338
285	135	338
286	135	337
287	136	336
288	136	335
289	136	334
290	136	333
291	136	332
292	137	331
293	137	330
294	137	329
295	137	328
296	138	327
297	138	326
298	138	325
299	139	324
300	139	323
